Year,Month,Day,Rain(mm),PET(mm)
2000,9,23,0,5.708089592
2000,9,24,0,6.035285936
2000,9,25,0,4.725689633
2000,9,26,0,4.361782006
2000,9,27,0.1,4.271458406
2000,9,28,0,3.706895897
2000,9,29,0,3.817528877
2000,9,30,0,4.015246839
2000,10,1,0,4.235854317
2000,10,2,0,4.171795429
2000,10,3,0,5.704424125
2000,10,4,0,6.416932229
2000,10,5,0,5.629281054
2000,10,6,0,5.651026464
2000,10,7,0,3.929030582
2000,10,8,0,5.281450815
2000,10,9,0,5.026026778
2000,10,10,0,3.685677485
2000,10,11,0,3.126159139
2000,10,12,0,3.99084252
2000,10,13,0,3.679667447
2000,10,14,0,2.773510954
2000,10,15,0,2.238988313
2000,10,16,0,2.747375652
2000,10,17,0,3.172741106
2000,10,18,0,3.937761589
2000,10,19,0,3.819212435
2000,10,20,1.2,2.504932087
2000,10,21,0.8,2.200603815
2000,10,22,0.4,1.851871166
2000,10,23,5.2,1.968130262
2000,10,24,1.7,1.393762058
2000,10,25,6.1,1.784570969
2000,10,26,0,2.248050943
2000,10,27,0,1.861561137
2000,10,28,0,3.040871753
2000,10,29,0,3.539163577
2000,10,30,0,2.889960778
2000,10,31,0,2.218068643
2000,11,1,0.4,1.916260278
2000,11,2,0,2.480794428
2000,11,3,0,3.251915306
2000,11,4,0,3.321909717
2000,11,5,0,2.991297885
2000,11,6,0,3.417079595
2000,11,7,0,3.542542475
2000,11,8,0,3.560031074
2000,11,9,0,3.907205448
2000,11,10,0,4.133076503
2000,11,11,0,4.711889533
2000,11,12,0,4.116650921
2000,11,13,0,3.434533958
2000,11,14,0,3.152833671
2000,11,15,0,3.472969117
2000,11,16,0,3.80021712
2000,11,17,0,3.01106732
2000,11,18,0,1.146022094
2000,11,19,0,2.14558494
2000,11,20,0,2.440325443
2000,11,21,0,2.575584142
2000,11,22,0,2.738418432
2000,11,23,0,2.140407198
2000,11,24,0,2.628179375
2000,11,25,0,2.261163473
2000,11,26,0,2.593822033
2000,11,27,0,2.74495657
2000,11,28,0.1,2.866338049
2000,11,29,1.2,2.524617929
2000,11,30,4.6,2.309088126
2000,12,1,0,1.3285598
2000,12,2,0,1.804848427
2000,12,3,0,2.182410571
2000,12,4,0,2.240201688
2000,12,5,0,1.970037956
2000,12,6,0,2.098613279
2000,12,7,0,1.23733264
2000,12,8,6.6,1.478556226
2000,12,9,16.3,0.685963492
2000,12,10,0.2,1.39649286
2000,12,11,0.6,1.611253972
2000,12,12,18.3,1.83144869
2000,12,13,10.8,1.603903302
2000,12,14,0,1.274453955
2000,12,15,0.6,1.558832159
2000,12,16,0,1.48692899
2000,12,17,0,1.715701107
2000,12,18,0,1.442426081
2000,12,19,19.6,1.492139373
2000,12,20,36,1.656318856
2000,12,21,3.2,1.718797951
2000,12,22,0,1.725173751
2000,12,23,0,1.468957564
2000,12,24,36.3,2.015348396
2000,12,25,5.6,1.739301297
2000,12,26,0,1.622295892
2000,12,27,0,1.976964492
